# Cache size detection via pointer-chasing (node_stride=256b)
# size_bytes	latency_ns_per_access
1024	0.774
1152	0.776
1280	0.786
1408	0.782
1536	0.776
1664	0.783
1792	0.780
1920	0.780
2048	0.784
2304	0.776
2560	0.779
2816	0.778
3072	0.783
3328	0.774
3584	0.774
3840	0.783
4096	0.778
4608	0.783
5120	0.779
5632	0.773
6144	0.774
6656	0.774
7168	0.776
7680	0.780
8192	0.784
9216	0.775
10240	0.784
11264	0.779
12288	0.779
13312	0.775
14336	0.781
15360	0.779
16384	0.784
18432	0.783
20480	0.779
22528	0.781
24576	0.777
26624	0.775
28672	0.775
30720	0.785
32768	0.779
36864	0.775
40960	0.782
45056	0.777
49152	0.783
53248	2.809
57344	2.749
61440	2.720
65536	2.709
73728	2.639
81920	2.618
90112	2.738
98304	2.717
106496	2.702
114688	2.684
122880	2.682
131072	2.730
147456	2.718
163840	2.726
180224	2.728
196608	2.729
212992	2.716
229376	2.721
245760	2.710
262144	2.711
327680	2.717
393216	2.734
458752	2.929
524288	3.112
655360	3.296
786432	3.441
917504	3.699
1048576	4.399
1310720	8.279
1572864	10.374
1835008	10.901
2097152	11.272
3145728	11.066
4194304	11.078
6291456	11.132
8388608	11.307
12582912	11.438
16777216	12.026
25165824	15.916
33554432	17.805
50331648	20.594
67108864	23.515
100663296	45.748
134217728	78.542
201326592	101.887
268435456	104.870
402653184	107.492
536870912	108.759
805306368	110.104
1073741824	110.908
1610612736	111.974
2147483648	113.904
3221225472	118.737
4294967296	121.515

Detected cache levels (approx):
- L1 capacity ~ 48.0 KiB (jump x3.61)
- L2 capacity ~ 768.0 KiB (jump x1.33)
- L3 capacity ~ 1.0 MiB (jump x2.04)
- L4 capacity ~ 16.0 MiB (jump x1.46)
- L? capacity ~ 48.0 MiB (jump x1.30)
- L? capacity ~ 96.0 MiB (jump x2.27)
